OSS,version,URL,License
DateTime,5.5,https://github.com/zopefoundation/DateTime,ZPL-2.1(Zope Public License 2.1)
JPype1,1.5.0,https://github.com/jpype-project/jpype,Apache-2.0(Apache License 2.0)
Jinja2,3.1.4,https://github.com/pallets/jinja/,BSD-3-Clause-Clear(BSD 3-Clause Clear License)
MarkupSafe,3.0.2,https://palletsprojects.com/p/markupsafe/,BSD-3-Clause-Clear(BSD 3-Clause Clear License)
PyYAML,6.0.2,https://pyyaml.org/,MIT(MIT License)
SQLAlchemy,2.0.36,https://www.sqlalchemy.org,MIT(MIT License)
accelerate,0.30.1,https://github.com/huggingface/accelerate,Apache-2.0(Apache License 2.0)
aiohappyeyeballs,2.4.3,https://github.com/aio-libs/aiohappyeyeballs,Python-2.0(Python License 2.0)
aiohttp,3.10.10,https://github.com/aio-libs/aiohttp,Apache-2.0(Apache License 2.0)
aiosignal,1.3.1,https://github.com/aio-libs/aiosignal,Apache-2.0(Apache License 2.0)
annotated-types,0.7.0,https://github.com/annotated-types/annotated-types,MIT(MIT License)
anyio,3.7.1,https://anyio.readthedocs.io/en/stable/versionhistory.html,MIT(MIT License)
async-timeout,4.0.3,https://github.com/aio-libs/async-timeout,Apache-2.0(Apache License 2.0)
attrs,24.2.0,https://www.attrs.org/en/stable/changelog.html,MIT(MIT License)
certifi,2024.8.30,https://github.com/certifi/python-certifi,MPL-2.0(Mozilla Public License 2.0)
charset-normalizer,3.4.0,https://github.com/Ousret/charset_normalizer,MIT(MIT License)
dataclasses-json,0.6.7,https://github.com/lidatong/dataclasses-json,MIT(MIT License)
distro,1.9.0,https://github.com/python-distro/distro,Apache-2.0(Apache License 2.0)
dnspython,2.7.0,https://www.dnspython.org,ISC(ISC License)
email_validator,2.2.0,https://github.com/JoshData/python-email-validator,Unlicense(The Unlicense)
exceptiongroup,1.2.2,https://github.com/agronholm/exceptiongroup/blob/main/CHANGES.rst,MIT(MIT License)
faiss-cpu,1.7.4,https://github.com/kyamagu/faiss-wheels,MIT(MIT License)
faiss-gpu,1.7.2,https://github.com/kyamagu/faiss-wheels,MIT(MIT License)
fastapi,0.115.2,https://github.com/fastapi/fastapi,MIT(MIT License)
fastapi-cli,0.0.5,https://github.com/fastapi/fastapi-cli,MIT(MIT License)
filelock,3.16.1,https://github.com/tox-dev/py-filelock,Unlicense(The Unlicense)
frozenlist,1.4.1,https://github.com/aio-libs/frozenlist,Apache-2.0(Apache License 2.0)
fsspec,2024.10.0,https://github.com/fsspec/filesystem_spec,BSD-3-Clause-Clear(BSD 3-Clause Clear License)
graphviz,0.20.3,https://github.com/xflr6/graphviz,MIT(MIT License)
greenlet,3.1.1,https://greenlet.readthedocs.io/,Python-2.0(Python License 2.0)
h11,0.14.0,https://github.com/python-hyper/h11,MIT(MIT License)
httpcore,1.0.6,https://www.encode.io/httpcore/,BSD-3-Clause-Clear(BSD 3-Clause Clear License)
httptools,0.6.4,https://github.com/MagicStack/httptools,MIT(MIT License)
httpx,0.27.2,https://github.com/encode/httpx,BSD-3-Clause-Clear(BSD 3-Clause Clear License)
huggingface-hub,0.26.1,https://github.com/huggingface/huggingface_hub,Apache-2.0(Apache License 2.0)
idna,3.1,https://github.com/kjd/idna,BSD-3-Clause-Clear(BSD 3-Clause Clear License)
joblib,1.4.2,https://joblib.readthedocs.io,BSD-3-Clause-Clear(BSD 3-Clause Clear License)
jsonpatch,1.33,https://github.com/stefankoegl/python-json-patch,BSD-3-Clause-Clear(BSD 3-Clause Clear License)
jsonpointer,3.0.0,https://github.com/stefankoegl/python-json-pointer,BSD-style license(修正版BSD License類似ライセンス)
langchain,0.0.340,https://github.com/langchain-ai/langchain,MIT(MIT License)
langdetect,1.0.9,https://github.com/Mimino666/langdetect,Apache-2.0(Apache License 2.0)
langsmith,0.0.92,https://smith.langchain.com/,MIT(MIT License)
lxml,5.3.0,https://lxml.de/,BSD-3-Clause-Clear(BSD 3-Clause Clear License)
marshmallow,3.23.0,https://github.com/marshmallow-code/marshmallow,MIT(MIT License)
mpmath,1.3.0,http://mpmath.org/,BSD-3-Clause-Clear(BSD 3-Clause Clear License)
multidict,6.1.0,https://github.com/aio-libs/multidict,Apache-2.0(Apache License 2.0)
mypy-extensions,1.0.0,https://github.com/python/mypy_extensions,MIT(MIT License)
networkx,3.4.2,https://networkx.org/,BSD-3-Clause-Clear(BSD 3-Clause Clear License)
numpy,1.26.4,https://numpy.org,BSD-style license(修正版BSD License類似ライセンス)
numpy,2.1.2,https://numpy.org,BSD-style license(修正版BSD License類似ライセンス)
openai,1.30.2,https://github.com/openai/openai-python,Apache-2.0(Apache License 2.0)
packaging,24.1,https://github.com/pypa/packaging,Apache-2.0(Apache License 2.0)
pandas,2.2.2,https://pandas.pydata.org,BSD-3-Clause-Clear(BSD 3-Clause Clear License)
pandas,2.2.3,https://pandas.pydata.org,BSD-3-Clause-Clear(BSD 3-Clause Clear License)
pillow,11.0.0,https://python-pillow.org,HPND(Historical Permission Notice and Disclaimer)
pillow,10.4.0,https://python-pillow.org,HPND(Historical Permission Notice and Disclaimer)
propcache,0.2.0,https://github.com/aio-libs/propcache,Apache-2.0(Apache License 2.0)
psutil,6.1.0,https://github.com/giampaolo/psutil,BSD-3-Clause-Clear(BSD 3-Clause Clear License)
pydantic,2.9.2,https://github.com/pydantic/pydantic,MIT(MIT License)
pydantic_core,2.23.4,https://github.com/pydantic/pydantic-core,MIT(MIT License)
pypdf,4.2.0,https://github.com/py-pdf/pypdf,BSD-3-Clause-Clear(BSD 3-Clause Clear License)
python-dateutil,2.9.0.post0,https://github.com/dateutil/dateutil,Apache-2.0(Apache License 2.0)
python-docx,1.1.2,https://github.com/python-openxml/python-docx,MIT(MIT License)
python-dotenv,1.0.1,https://github.com/theskumar/python-dotenv,BSD-3-Clause-Clear(BSD 3-Clause Clear License)
python-multipart,0.0.12,https://github.com/Kludex/python-multipart,Apache-2.0(Apache License 2.0)
pytz,2024.2,http://pythonhosted.org/pytz,MIT(MIT License)
regex,2024.5.15,https://github.com/mrabarnett/mrab-regex,Apache-2.0(Apache License 2.0)
requests,2.32.3,https://requests.readthedocs.io,Apache-2.0(Apache License 2.0)
safetensors,0.4.5,https://github.com/huggingface/safetensors,Apache-2.0(Apache License 2.0)
scikit-learn,1.5.2,https://scikit-learn.org,BSD-3-Clause-Clear(BSD 3-Clause Clear License)
scipy,1.14.1,https://scipy.org/,BSD-3-Clause-Clear(BSD 3-Clause Clear License)
sentence-transformers,2.7.0,https://www.SBERT.net,Apache-2.0(Apache License 2.0)
shellingham,1.5.4,https://github.com/sarugaku/shellingham,ISC(ISC License)
simplejson,3.19.2,https://github.com/simplejson/simplejson,AFL-2.1(Academic Free License v2.1)
six,1.16.0,https://github.com/benjaminp/six,MIT(MIT License)
sniffio,1.3.1,https://github.com/python-trio/sniffio,Apache-2.0(Apache License 2.0)
starlette,0.40.0,https://github.com/encode/starlette,BSD-3-Clause-Clear(BSD 3-Clause Clear License)
sympy,1.13.1,https://sympy.org,BSD-3-Clause-Clear(BSD 3-Clause Clear License)
tabula-py,2.9.0,https://github.com/chezou/tabula-py,MIT(MIT License)
tabulate,0.9.0,https://github.com/astanin/python-tabulate,MIT(MIT License)
tenacity,8.3.0,https://github.com/jd/tenacity,Apache-2.0(Apache License 2.0)
tenacity,9.0.0,https://github.com/jd/tenacity,Apache-2.0(Apache License 2.0)
threadpoolctl,3.5.0,https://github.com/joblib/threadpoolctl,BSD-3-Clause-Clear(BSD 3-Clause Clear License)
tiktoken,0.7.0,https://github.com/openai/tiktoken,MIT(MIT License)
tokenizers,0.20.1,https://github.com/huggingface/tokenizers,Apache-2.0(Apache License 2.0)
torch,2.5.0,https://pytorch.org/,BSD-3-Clause-Clear(BSD 3-Clause Clear License)
tqdm,4.66.5,https://tqdm.github.io,MIT(MIT License)
transformers,4.45.2,https://github.com/huggingface/transformers,Apache-2.0(Apache License 2.0)
triton,3.1.0,https://github.com/openai/triton/,MIT(MIT License)
typer,0.12.5,https://github.com/fastapi/typer,MIT(MIT License)
typing-inspect,0.9.0,https://github.com/ilevkivskyi/typing_inspect,MIT(MIT License)
typing_extensions,4.12.2,https://github.com/python/typing_extensions,Python-2.0(Python License 2.0)
tzdata,2024.2,https://github.com/python/tzdata,Apache-2.0(Apache License 2.0)
unicodedata2,15.1.0,http://github.com/fonttools/unicodedata2,Apache-2.0(Apache License 2.0)
urllib3,2.2.3,https://github.com/urllib3/urllib3/blob/main/CHANGES.rst,MIT(MIT License)
uvicorn,0.32.0,https://www.uvicorn.org/,BSD-3-Clause-Clear(BSD 3-Clause Clear License)
